# Tài liệu đã loại khỏi kho tri thức AI Nurse vì KHÔNG thuộc chăm sóc mẹ & bé.
# Cột chunks = số chunk trong DB tại thời điểm loại (2026-09-22). Xoá/khôi phục bằng scripts/prune_off_domain_documents.py
# D1: Xã hội/chính sách không y khoa: bạo lực giới, luật bình đẳng giới, người cao tuổi, báo cáo dân số, di cư
# D2: Giáo dục giới tính học đường, SRHR vị thành niên, infographic SRHR theo quốc gia
# D3: Sức khỏe môi trường, độc chất, thiên tai, khủng bố sinh học
# D4: Bệnh mạn tính/bệnh lý người lớn không gắn với thai kỳ (ĐTĐ típ 1/2 và biến chứng, THA, bại liệt, bệnh di truyền...)
# D5: Ung thư và bệnh lý ngoài thai sản: vú, buồng trứng, tử cung, âm hộ, nam khoa, mãn kinh, phẫu thuật thẩm mỹ
# D6: Tâm thần người lớn/người cao tuổi và quản trị hệ thống sức khỏe tâm thần (không phải chu sinh)
# D7: Hành chính/lịch sử bệnh viện, chất lượng bệnh viện, bảng kiểm IPC, chính sách thuế thực phẩm, số liệu thống kê, tài liệu kỹ thuật chẩn đoán hình ảnh, bản tiếng Ả Rập
group	file	title	chunks
D7	BYT_dieu_duong_cham_soc_nguoi_benh_benh_vien_2011_archive.md	Byt Dieu Duong Cham Soc Nguoi Benh Benh Vien 2011 Archive	19
D7	BYT_dieu_kien_co_so_dieu_tri_thuoc_khang_HIV_2011_archive.md	Byt Dieu Kien Co So Dieu Tri Thuoc Khang Hiv 2011 Archive	8
D7	BYT_dinh_duong_tiet_che_benh_vien_2011_archive.md	Byt Dinh Duong Tiet Che Benh Vien 2011 Archive	6
D7	BYT_su_dung_thuoc_co_so_y_te_co_giuong_benh_2011_archive.md	Byt Su Dung Thuoc Co So Y Te Co Giuong Benh 2011 Archive	12
D7	Family_planning_a_global_handbook_for_providers_2011_update_evidence-based_guidance_developed_through_worldwid.md	تنظيم الأسرة - الكتيب العالمي لمقدمي الخدمة	1
D7	TuDu_16_thanh_tuu_y_khoa_Viet_Nam_2020_ban_luu.md	Tudu 16 Thanh Tuu Y Khoa Viet Nam 2020 Ban Luu	7
D7	TuDu_50_nam_tu_hao_vuon_minh_cung_thanh_pho.md	Tudu 50 Nam Tu Hao Vuon Minh Cung Thanh Pho	2
D7	TuDu_RTAC_quan_ly_chat_luong_ho_tro_sinh_san.md	Tudu Rtac Quan Ly Chat Luong Ho Tro Sinh San	6
D7	TuDu_RTAC_quan_ly_chat_luong_ho_tro_sinh_san_lich_su.md	Tudu Rtac Quan Ly Chat Luong Ho Tro Sinh San Lich Su	6
D7	TuDu_RTAC_tieu_chuan_chat_luong_ho_tro_sinh_san.md	Tudu Rtac Tieu Chuan Chat Luong Ho Tro Sinh San	6
D7	TuDu_RTAC_tieu_chuan_ho_tro_sinh_san_lich_su.md	Tudu Rtac Tieu Chuan Ho Tro Sinh San Lich Su	6
D7	TuDu_bao_cao_chat_luong_benh_vien_2020_ban_luu.md	Tudu Bao Cao Chat Luong Benh Vien 2020 Ban Luu	8
D7	TuDu_bay_thap_ky_hinh_thanh_phat_trien_1937_2008.md	Tudu Bay Thap Ky Hinh Thanh Phat Trien 1937 2008	7
D7	TuDu_chat_luong_benh_vien_nam_2020.md	Tudu Chat Luong Benh Vien Nam 2020	8
D7	TuDu_chuan_quan_ly_chat_luong_RTAC_ho_tro_sinh_san.md	Tudu Chuan Quan Ly Chat Luong Rtac Ho Tro Sinh San	6
D7	TuDu_danh_gia_chat_luong_benh_vien_2020.md	Tudu Danh Gia Chat Luong Benh Vien 2020	10
D7	TuDu_danh_gia_chat_luong_benh_vien_2020_ban_luu.md	Tudu Danh Gia Chat Luong Benh Vien 2020 Ban Luu	8
D7	TuDu_danh_gia_chat_luong_benh_vien_nam_2020.md	Tudu Danh Gia Chat Luong Benh Vien Nam 2020	8
D7	TuDu_dinh_huong_phat_trien_chuyen_khoa_san_phu.md	Tudu Dinh Huong Phat Trien Chuyen Khoa San Phu	12
D7	TuDu_dinh_huong_phat_trien_chuyen_khoa_san_phu_khoa.md	Tudu Dinh Huong Phat Trien Chuyen Khoa San Phu Khoa	12
D7	TuDu_kham_phu_khoa_theo_doan_cho_nhan_vien_nu.md	Tudu Kham Phu Khoa Theo Doan Cho Nhan Vien Nu	3
D7	TuDu_khoa_kiem_soat_nhiem_khuan_nhiem_vu.md	Tudu Khoa Kiem Soat Nhiem Khuan Nhiem Vu	2
D7	TuDu_ky_thuat_phong_lab_IVF.md	Tudu Ky Thuat Phong Lab Ivf	2
D7	TuDu_ky_thuat_y_khoa_noi_bat_trong_lich_su_benh_vien.md	Tudu Ky Thuat Y Khoa Noi Bat Trong Lich Su Benh Vien	3
D7	TuDu_lich_su_bay_thap_ky_1937_2008.md	Tudu Lich Su Bay Thap Ky 1937 2008	7
D7	TuDu_lich_su_benh_vien_1937_2008.md	Tudu Lich Su Benh Vien 1937 2008	8
D7	TuDu_lich_su_benh_vien_1937_2008_cham_soc_me_tre.md	Tudu Lich Su Benh Vien 1937 2008 Cham Soc Me Tre	7
D7	TuDu_lich_su_cac_moc_IVF_1995_2023.md	Tudu Lich Su Cac Moc Ivf 1995 2023	11
D7	TuDu_lich_su_ky_thuat_IVF_1995_2023.md	Tudu Lich Su Ky Thuat Ivf 1995 2023	10
D7	TuDu_lich_su_ky_thuat_san_phu_khoa.md	Tudu Lich Su Ky Thuat San Phu Khoa	3
D7	TuDu_lich_su_nua_the_ky_phat_trien.md	Tudu Lich Su Nua The Ky Phat Trien	5
D7	TuDu_lich_su_phat_trien_IVF_va_em_be_thu_tinh_ong_nghiem.md	Tudu Lich Su Phat Trien Ivf Va Em Be Thu Tinh Ong Nghiem	9
D7	TuDu_lich_su_phat_trien_nua_the_ky.md	Tudu Lich Su Phat Trien Nua The Ky	5
D7	TuDu_lich_su_tam_thap_ky.md	Tudu Lich Su Tam Thap Ky	5
D7	TuDu_lich_su_thu_tinh_ong_nghiem_cac_moc_ky_thuat.md	Tudu Lich Su Thu Tinh Ong Nghiem Cac Moc Ky Thuat	10
D7	TuDu_lich_su_va_thanh_tuu_thu_tinh_ong_nghiem.md	Tudu Lich Su Va Thanh Tuu Thu Tinh Ong Nghiem	9
D7	TuDu_nhung_ky_thuat_chuyen_mon_lich_su.md	Tudu Nhung Ky Thuat Chuyen Mon Lich Su	3
D7	TuDu_nua_the_ky_phat_trien_chuyen_mon.md	Tudu Nua The Ky Phat Trien Chuyen Mon	5
D7	TuDu_phat_trien_chuyen_khoa_san_phu_khoa_chuyen_sau.md	Tudu Phat Trien Chuyen Khoa San Phu Khoa Chuyen Sau	12
D7	TuDu_phat_trien_chuyen_khoa_sau_2020_2025.md	Tudu Phat Trien Chuyen Khoa Sau 2020 2025	12
D7	TuDu_phat_trien_chuyen_sau_san_phu_khoa_giai_doan_2020_2025.md	Tudu Phat Trien Chuyen Sau San Phu Khoa Giai Doan 2020 2025	12
D7	TuDu_tam_nhin_su_mang_gia_tri_cot_loi.md	Tudu Tam Nhin Su Mang Gia Tri Cot Loi	1
D7	TuDu_tam_thap_ky_xay_dung_va_phat_trien.md	Tudu Tam Thap Ky Xay Dung Va Phat Trien	5
D7	TuDu_thanh_tuu_chuyen_mon_lich_su.md	Tudu Thanh Tuu Chuyen Mon Lich Su	3
D7	TuDu_thanh_tuu_chuyen_mon_tieu_bieu.md	Tudu Thanh Tuu Chuyen Mon Tieu Bieu	3
D7	TuDu_thanh_tuu_ky_thuat_chuyen_mon_lich_su.md	Tudu Thanh Tuu Ky Thuat Chuyen Mon Lich Su	3
D7	TuDu_tieu_chuan_hoa_thong_tin_thu_vien_y_hoc_2009(1).md	Tudu Tieu Chuan Hoa Thong Tin Thu Vien Y Hoc 2009(1)	13
D7	TuDu_tieu_chuan_hoa_thong_tin_thu_vien_y_hoc_2009.md	Tudu Tieu Chuan Hoa Thong Tin Thu Vien Y Hoc 2009	13
D7	TuDu_ton_vinh_16_thanh_tuu_y_khoa_Viet_Nam_2020.md	Tudu Ton Vinh 16 Thanh Tuu Y Khoa Viet Nam 2020	6
D7	VNCDC_bao_cao_phan_ung_sau_tiem_chung_2018_2020.md	Vncdc Bao Cao Phan Ung Sau Tiem Chung 2018 2020	3
D7	VNCDC_dich_benh_chua_ro_nguyen_nhan_Congo_2024.md	Vncdc Dich Benh Chua Ro Nguyen Nhan Congo 2024	5
D7	VNCDC_kien_truc_du_lieu_y_te_du_phong_2024.md	Vncdc Kien Truc Du Lieu Y Te Du Phong 2024	13
D7	VNCDC_phan_ung_sau_tiem_chung_2018_2019.md	Vncdc Phan Ung Sau Tiem Chung 2018 2019	3
D7	VNCDC_phan_ung_sau_tiem_chung_bao_cao_2018_2019.md	Vncdc Phan Ung Sau Tiem Chung Bao Cao 2018 2019	3
D7	VNCDC_phan_ung_sau_tiem_chung_so_lieu_2018_2019.md	Vncdc Phan Ung Sau Tiem Chung So Lieu 2018 2019	3
D7	VNCDC_phan_ung_sau_tiem_chung_so_lieu_2018_2020.md	Vncdc Phan Ung Sau Tiem Chung So Lieu 2018 2020	3
D7	WHO_2011_Thanh_phan_co_ban_va_cong_cu_danh_gia_chuong_trinh_kiem_soat_nhiem_khuan_FULLTEXT.md	Who 2011 Thanh Phan Co Ban Va Cong Cu Danh Gia Chuong Trinh Kiem Soat Nhiem Khuan Fulltext	124
D7	WHO_2018_Khung_danh_gia_kiem_soat_nhiem_khuan_tai_co_so_y_te_IPCAF_FULLTEXT.md	Who 2018 Khung Danh Gia Kiem Soat Nhiem Khuan Tai Co So Y Te Ipcaf Fulltext	65
D7	WHO_2022_Chinh_sach_tai_khoa_thuc_day_che_do_an_lanh_manh_POLICY_BRIEF_FULLTEXT.md	Who 2022 Chinh Sach Tai Khoa Thuc Day Che Do An Lanh Manh Policy Brief Fulltext	98
D7	WHO_2023_Bang_kiem_kiem_soat_nhiem_khuan_tuyen_chuyen_sau_FULLTEXT.md	Who 2023 Bang Kiem Kiem Soat Nhiem Khuan Tuyen Chuyen Sau Fulltext	36
D7	WHO_2023_Bang_kiem_kiem_soat_nhiem_khuan_tuyen_thu_cap_FULLTEXT.md	Who 2023 Bang Kiem Kiem Soat Nhiem Khuan Tuyen Thu Cap Fulltext	32
D7	WHO_2023_Bang_kiem_kiem_soat_nhiem_khuan_tuyen_y_te_co_so_FULLTEXT.md	Who 2023 Bang Kiem Kiem Soat Nhiem Khuan Tuyen Y Te Co So Fulltext	30
D7	WHO_2024_Huong_dan_chinh_sach_tai_khoa_thuc_day_an_uong_lanh_manh_FULLTEXT.md	Who 2024 Huong Dan Chinh Sach Tai Khoa Thuc Day An Uong Lanh Manh Fulltext	462
D7	WHO_2026_Cong_cu_danh_gia_dao_tao_khang_khang_sinh_va_kiem_soat_nhiem_khuan_dieu_duong_ho_sinh_FULLTEXT.md	Who 2026 Cong Cu Danh Gia Dao Tao Khang Khang Sinh Va Kiem Soat Nhiem Khuan Dieu Duong Ho Sinh Fulltext	100
D7	WHO_EMHJ_2019_Hoi_thao_che_do_an_lanh_manh_loai_bo_trans_fat_FULLTEXT.md	Who Emhj 2019 Hoi Thao Che Do An Lanh Manh Loai Bo Trans Fat Fulltext	15
D7	WHO_EMHJ_2023_Tuan_thu_kiem_soat_nhiem_khuan_nha_si_Bo_Tay_Jerusalem_FULLTEXT.md	Who Emhj 2023 Tuan Thu Kiem Soat Nhiem Khuan Nha Si Bo Tay Jerusalem Fulltext	46
D7	WHO_Europe_2025_Thue_thuc_pham_de_thuc_day_che_do_an_lanh_manh_FULLTEXT.md	Who Europe 2025 Thue Thuc Pham De Thuc Day Che Do An Lanh Manh Fulltext	59
D7	WHO_SEARO_2017_Huong_dan_chinh_sach_thuc_pham_cho_che_do_an_lanh_manh_FULLTEXT.md	Who Searo 2017 Huong Dan Chinh Sach Thuc Pham Cho Che Do An Lanh Manh Fulltext	105
D7	WHO_SEARO_2018_Nhan_dinh_duong_thuc_pham_thuc_day_an_uong_lanh_manh_FULLTEXT.md	Who Searo 2018 Nhan Dinh Duong Thuc Pham Thuc Day An Uong Lanh Manh Fulltext	122
D7	WHO_SEARO_2026_Doi_tac_cong_tu_hoat_dong_the_luc_va_an_uong_lanh_manh_FULLTEXT.md	Who Searo 2026 Doi Tac Cong Tu Hoat Dong The Luc Va An Uong Lanh Manh Fulltext	30
D7	WHO_radiographic_technique_2003_lien_quan_thai_ky.md	WHO Manual of Diagnostic Imaging 2003 - Radiographic Technique and Projections	245
D7	WHO_ultrasound_environmental_health_criteria_1982.md	WHO Environmental Health Criteria 22: Ultrasound - 1982	988
