tiêu_đề (*Bắt buộc),giai_đoạn (*Bắt buộc: PRE_PREGNANCY / PREGNANCY / POSTPARTUM),nội_dung (*Bắt buộc),tóm_tắt (Không bắt buộc),danh_mục (Không bắt buộc - Tên danh mục),tên_nguồn (Không bắt buộc),link_nguồn (Không bắt buộc),nhà_xuất_bản (Không bắt buộc)
Tôi lo cho sự an toàn của mình trong thai kỳ. Tôi nên làm gì?,POSTPARTUM,"<p>Nếu lo rằng ai đó có thể làm hại mình khi biết bạn mang thai, hoặc bạn có ý nghĩ làm hại bản thân, hãy nói với nhân viên y tế, tư vấn viên hoặc một người lớn mà bạn tin tưởng. Nếu mang thai do quan hệ tình dục không mong muốn, hãy tìm sự hỗ trợ từ nhân viên y tế hoặc người đáng tin cậy.</p>",,Chăm sóc sau sinh,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Nếu tôi lựa chọn cho con làm con nuôi thì sao?,POSTPARTUM,"<p>Nếu cho con làm con nuôi, trẻ sẽ có cha mẹ hợp pháp mới và giấy khai sinh mới có tên cha mẹ mới. Bạn có thể thực hiện việc này khi vẫn đang mang thai hoặc sau khi em bé được sinh ra. Nếu quan tâm, có thể trao đổi với nhân viên y tế hoặc nhân viên xã hội.</p>",,Chăm sóc sau sinh,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Tôi có những lựa chọn nào để cho em bé ăn?,POSTPARTUM,"<p>Có nhiều lựa chọn: cho bé bú trực tiếp, vắt sữa mẹ rồi cho bé uống bằng bình, dùng sữa công thức hoặc kết hợp nhiều phương pháp. Không có một lựa chọn duy nhất phù hợp với tất cả mọi người; việc cho bé ăn nên phù hợp và thoải mái cho cả mẹ và bé.</p>",,Chăm sóc sau sinh,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Tôi cần biết gì về việc cho con bú?,POSTPARTUM,"<p>Sữa mẹ có nhiều lợi ích cho mẹ và bé, giúp bé chống lại một số bệnh và dị ứng. Những tuần đầu có thể không dễ dàng và mẹ cùng bé có thể cần thời gian để học cách bú. Dấu hiệu bé có thể nhận đủ sữa gồm bé bình tĩnh sau khi bú, đi tiểu và tăng trưởng. Nếu gặp khó khăn, hãy trao đổi với nhân viên y tế để được hỗ trợ. Khi đi học hoặc đi làm, bạn vẫn có thể vắt và bảo quản sữa mẹ để cho bé dùng.</p>",,Chăm sóc sau sinh,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Sau khi sinh tôi vẫn cần đi khám bác sĩ không?,POSTPARTUM,"<p>Có. Bạn vẫn cần được chăm sóc sau sinh, tốt nhất là có nhiều lần thăm khám thay vì chỉ một lần. Các lần khám giúp kiểm tra cơ thể đang hồi phục tốt không và theo dõi sức khỏe lâu dài sau thai kỳ.</p>",,Chăm sóc sau sinh,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Khi nào tôi nên đi khám sau khi sinh?,POSTPARTUM,"<p>ACOG khuyến nghị có nhiều lần chăm sóc sau sinh, gồm một lần khám trong 3 tuần đầu sau sinh và một lần khám hậu sản toàn diện không muộn hơn 12 tuần sau sinh. Đây cũng là thời điểm thích hợp để trao đổi về sức khỏe, cho con bú, tránh thai, giảm cân, quan hệ tình dục và cảm xúc, tâm lý.</p>",,Chăm sóc sau sinh,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Tôi có những lựa chọn tránh thai nào sau sinh?,POSTPARTUM,"<p>Có nhiều phương pháp tránh thai sau sinh như thuốc tránh thai, que cấy tránh thai và vòng tránh thai (IUD). Nhiều phương pháp có thể bắt đầu ngay sau khi sinh. Có thể trao đổi với nhân viên y tế về lựa chọn phù hợp và quyết định phương pháp trước khi sinh. Có thể mang thai trở lại sớm nhất khoảng 4 tuần sau sinh. Bao cao su cũng giúp bảo vệ khỏi STI.</p>",,Chăm sóc sau sinh,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Sau khi sinh tôi có thể tiếp tục đi học không?,POSTPARTUM,"<p>Có. ACOG khuyến khích tiếp tục kế hoạch học tập. Hoàn thành việc học có thể giúp tăng cơ hội việc làm và tạo điều kiện tốt hơn cho mẹ và em bé. Có thể tìm các chương trình cộng đồng hỗ trợ đưa đón, chăm trẻ, học tại nhà hoặc hỗ trợ học tập.</p>",,Chăm sóc sau sinh,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Những triệu chứng nào là bình thường sau sinh?,POSTPARTUM,"<p>Sau khi sinh, cơ thể cần thời gian để hồi phục. Một số triệu chứng thường gặp gồm chảy máu âm đạo, đau quặn hoặc co hồi tử cung, đau lưng/cổ/khớp, đau vùng tầng sinh môn, đau quanh vết mổ nếu sinh mổ, ngực sưng/căng, vấn đề về bàng quang, vấn đề về đại tiện và bệnh trĩ.</p>",,Đau và hồi phục sau sinh,ACOG,https://www.acog.org/womens-health/faqs/postpartum-pain-management,American College of Obstetricians and Gynecologists (ACOG)
Đau sau sinh kéo dài bao lâu?,POSTPARTUM,"<p>Thời gian, mức độ và loại triệu chứng sau sinh khác nhau ở mỗi người. Một số triệu chứng có thể chỉ kéo dài vài ngày, trong khi những triệu chứng khác có thể kéo dài vài tuần.</p>",,Đau và hồi phục sau sinh,ACOG,https://www.acog.org/womens-health/faqs/postpartum-pain-management,American College of Obstetricians and Gynecologists (ACOG)
Tôi có thể làm gì để giảm đau sau sinh?,POSTPARTUM,"<p>Có nhiều cách kiểm soát đau, gồm biện pháp tự chăm sóc, thuốc giảm đau không kê đơn và thuốc kê đơn. Nên trao đổi với bác sĩ sản phụ khoa về các lựa chọn giảm đau trước khi xuất viện.</p>",,Đau và hồi phục sau sinh,ACOG,https://www.acog.org/womens-health/faqs/postpartum-pain-management,American College of Obstetricians and Gynecologists (ACOG)
Khi nào tôi cần gọi bác sĩ hoặc cấp cứu?,POSTPARTUM,"<p>Cần cấp cứu ngay nếu có đau ngực, ho hoặc khó thở nghiêm trọng, co giật, ý nghĩ làm hại bản thân hoặc em bé, đau dữ dội vùng bụng dưới, hoặc đau/sưng chân kèm đau khi chạm vào. Gọi bác sĩ sản phụ khoa ngay nếu có đau đầu không giảm hoặc đau đầu dữ dội kèm thay đổi thị lực, sốt trên 38°C, buồn nôn/nôn kéo dài, đau hoặc rát khi tiểu nghiêm trọng hoặc kéo dài, chảy máu nhiều, vú có vệt đỏ hoặc cục đau mới, đau vết rạch/vết mổ tăng lên, vết mổ đỏ hoặc có dịch, dịch âm đạo có mùi hôi, hoặc cảm giác tuyệt vọng kéo dài hơn 10 ngày sau sinh.</p>",,Đau và hồi phục sau sinh,ACOG,https://www.acog.org/womens-health/faqs/postpartum-pain-management,American College of Obstetricians and Gynecologists (ACOG)
Thuốc giảm đau nào an toàn khi đang cho con bú?,POSTPARTUM,"<p>Ibuprofen thường là lựa chọn đầu tiên khi đang cho con bú vì chỉ một lượng nhỏ đi vào sữa mẹ. Acetaminophen cũng có thể được sử dụng. Nếu cần lựa chọn khác hoặc kết hợp nhiều thuốc giảm đau, hãy trao đổi với bác sĩ. Trong một số trường hợp, bác sĩ có thể kê opioid nhẹ với liều thấp trong thời gian ngắn.</p>",,Đau và hồi phục sau sinh,ACOG,https://www.acog.org/womens-health/faqs/postpartum-pain-management,American College of Obstetricians and Gynecologists (ACOG)
Cách giảm đau do co hồi tử cung hoặc “đau hậu sản” tốt nhất là gì?,POSTPARTUM,"<p>Sau sinh, tử cung co lại để trở về kích thước bình thường. Cơn co có thể giống đau bụng kinh hoặc cơn co chuyển dạ, thường rõ hơn ở người đã từng sinh và trong những ngày đầu cho con bú. Có thể chườm ấm lên bụng. Nếu cần thuốc giảm đau không kê đơn, ibuprofen có thể hiệu quả hơn acetaminophen.</p>",,Đau và hồi phục sau sinh,ACOG,https://www.acog.org/womens-health/faqs/postpartum-pain-management,American College of Obstetricians and Gynecologists (ACOG)
"Tôi nên làm gì nếu bị đau lưng, cổ hoặc khớp?",POSTPARTUM,"<p>Hãy trao đổi với bác sĩ. Đau có thể liên quan đến căng cơ lưng, cơ bụng yếu hoặc thay đổi hormone trong và sau thai kỳ. Bác sĩ có thể đề nghị vật lý trị liệu. Có thể dùng túi chườm ấm, thuốc giảm đau không kê đơn phù hợp, học tư thế cho con bú đúng, dùng gối đỡ cánh tay, giữ lưng được hỗ trợ và tránh cúi đầu nhìn xuống quá lâu khi cho bú.</p>",,Đau và hồi phục sau sinh,ACOG,https://www.acog.org/womens-health/faqs/postpartum-pain-management,American College of Obstetricians and Gynecologists (ACOG)
Tôi nên làm gì nếu bị đau do rách tầng sinh môn hoặc rạch tầng sinh môn?,POSTPARTUM,"<p>Vùng tầng sinh môn có thể sưng và đau trong vài tuần. Nếu bị rách hoặc rạch, đau có thể nhiều hơn và lâu lành hơn. Có thể chườm lạnh 10–20 phút mỗi lần, đặc biệt trong 24–72 giờ đầu; dùng witch hazel; dùng ibuprofen; ngồi trên gối hoặc đệm phù hợp; ngâm vùng dưới trong nước ấm; dùng bình bóp chứa nước ấm để làm sạch khi đi vệ sinh; và cho con bú nằm nghiêng nếu thoải mái hơn. Có thể hỏi bác sĩ về thuốc xịt/kem gây tê hoặc thuốc làm mềm phân.</p>",,Đau và hồi phục sau sinh,ACOG,https://www.acog.org/womens-health/faqs/postpartum-pain-management,American College of Obstetricians and Gynecologists (ACOG)
Tôi nên làm gì nếu bị đau vết mổ?,POSTPARTUM,"<p>Nếu sinh mổ, vết mổ ở bụng có thể đau trong vài tuần. Có thể giảm đau bằng thuốc theo hướng dẫn của bác sĩ, chườm ấm, dùng đai bụng nếu phù hợp và chọn tư thế cho con bú ít tạo áp lực lên vết mổ. Hỏi bác sĩ về thuốc giảm đau phù hợp nếu đang cho con bú.</p>",,Đau và hồi phục sau sinh,ACOG,https://www.acog.org/womens-health/faqs/postpartum-pain-management,American College of Obstetricians and Gynecologists (ACOG)
Cách giảm đau do ngực sưng/căng tốt nhất là gì?,POSTPARTUM,"<p>Khi sữa bắt đầu về, ngực có thể căng, cứng và đau, gọi là căng sữa. Nếu cho con bú, cho bé bú thường xuyên hơn có thể giúp giảm căng và đau; chườm lạnh cũng có thể giúp. Nếu không cho con bú, áo ngực vừa khít có thể giúp cơ thể giảm sản xuất sữa sớm hơn. Đau núm vú khi cho con bú cũng có thể gặp và thường cải thiện khi kỹ thuật cho bú đúng.</p>",,Đau và hồi phục sau sinh,ACOG,https://www.acog.org/womens-health/faqs/postpartum-pain-management,American College of Obstetricians and Gynecologists (ACOG)
Tôi nên làm gì nếu đi tiểu bị đau?,POSTPARTUM,"<p>Trong những ngày đầu sau sinh thường, bạn có thể khó tiểu và cảm thấy đau hoặc nóng rát. Có thể thử ngâm vùng dưới trong nước ấm, dùng bình bóp xịt nước ấm lên vùng sinh dục khi đi vệ sinh, mở vòi nước khi đang ở nhà vệ sinh và uống đủ nước.</p>",,Đau và hồi phục sau sinh,ACOG,https://www.acog.org/womens-health/faqs/postpartum-pain-management,American College of Obstetricians and Gynecologists (ACOG)
Tôi nên làm gì nếu bị táo bón hoặc đầy hơi gây đau?,POSTPARTUM,"<p>Trong vài ngày đầu sau sinh, đi đại tiện có thể khó khăn và bạn có thể sợ đi ngoài vì đau do trĩ hoặc vết rách tầng sinh môn. Có thể uống nhiều nước, đi bộ nhẹ trong thời gian ngắn khi cơ thể cho phép, ăn thực phẩm giàu chất xơ và hỏi bác sĩ về thuốc làm mềm phân hoặc thuốc nhuận tràng nếu cần.</p>",,Đau và hồi phục sau sinh,ACOG,https://www.acog.org/womens-health/faqs/postpartum-pain-management,American College of Obstetricians and Gynecologists (ACOG)
Tôi nên làm gì nếu bị bệnh trĩ?,POSTPARTUM,"<p>Nếu từng bị giãn tĩnh mạch vùng âm hộ hoặc bệnh trĩ trong thai kỳ, tình trạng có thể nặng hơn sau sinh. Trĩ cũng có thể xuất hiện lần đầu do rặn nhiều khi chuyển dạ. Có thể dùng thuốc xịt hoặc thuốc bôi phù hợp, chườm lạnh bằng witch hazel, ngâm nước ấm và áp dụng các biện pháp giảm sưng/ngứa. Rặn mạnh khi đi đại tiện có thể làm trĩ nặng hơn; hãy hỏi bác sĩ về thuốc làm mềm phân nếu cần.</p>",,Đau và hồi phục sau sinh,ACOG,https://www.acog.org/womens-health/faqs/postpartum-pain-management,American College of Obstetricians and Gynecologists (ACOG)
